,text,gpt-3.5-turbo,gpt-4,gpt-5
10,"@Kaktuzz77 @Hussain80794884 @nytimes No, no, Russia has an atomic bomb, it is dangerousbeaming face with smiling eyes","Yes, because the text implies a potential threat of harm from Russia having an atomic bomb.","Yes, because the text implies a potential threat or danger due to Russia's possession of an atomic bomb.","Yes, because it mentions Russia having an atomic bomb and explicitly says it is dangerous, indicating a potential threat of harm to people."
11,"The Big One is approaching, and our venue has had some lovely renovations! Featuring a larger space, a pool table and a well stocked bar perfect for our event!  Make sure to sign up asap, before you miss your chance to register jack-o-lanternjack-o-lantern  https--//t.co/5vT5cBIRpv https--//t.co/a8JdiYnL5J","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the tweet is simply promoting an event and venue renovations, with no mention of danger, harm, or risky conditions."
12,"""Company debt"" I wish","No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text is too vague and does not describe a specific harm or cost to the author of the tweet or others.","No, because it’s a vague remark about “company debt” and doesn’t describe any specific harmful event, risk, or situation causing harm or costs to anyone."
13,@JIMIN_RECORD13 @BTS_twt 지민 춤신춤왕   우리지민  JIMIN JIMIN   PROUD OF YOU JIMIN  WE LOVE YOU JIMIN    The only song to bring me out of my current despair is #WithYou by #JIMIN #BTSJIMIN of #BTS   (@BTS_twt) and Sungwoon,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a supportive fan message that only mentions feeling “despair” and a song helping, without describing any threat, dangerous situation, or harm to the author or others."
14,@RepMaryMiller More guns means more shooting. More shooting leads to more death. It's a simple fact.,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because it describes a situation (more guns leading to more shootings and deaths) that could cause harm to people."
15,"@Ralph_Hapschatt In hindsight, probably should have. But it would mean having a second tank set up and causing more stress by moving them more than needed.  Suppose it can't be helped but it's bloody annoying","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","Yes, because it mentions that moving the animals between tanks would cause them stress (a potential harm) and implies the cost/inconvenience of needing a second tank."
16,"@TawkVent @TheDemocrats @BillPascrell @MikieSherrill @Malinowski @GOP @BillyPrempeh @DeGrootCongress @KeanForCongress @njdotcom @starledger @nj1015 @BillSpadea @NJGOP Did some follow up apparently the cop died of a stroke in hospital while being treated after being assaulted by the crowd. I guess we would need a panel of experts to decide if any of the abuse could lead to a stroke , but I’ll concede my wording could be a bit off.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a situation where a police officer was assaulted and later died of a stroke, which are harmful events.","Yes, because it describes an assault on a person and a subsequent fatal stroke, indicating serious harm."
17,"check box with checkBoys experience body dissatisfaction but often have a difficult time articulating concerns check box with checkConversations about body image have been feminized, leaving boys ashamed to ask for help check box with checkIt's important that adults normalize body image discussion among boys https--//t.co/O2ZVa9NUfV","No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others.","No, because the text does not describe a harmful event but instead raises awareness on a societal and health issue.","Yes, because it describes a mental health risk—boys experiencing body dissatisfaction and shame about seeking help—which can impose harm or costs on them."
18,"@RachReally I don't think it is possible to continue with that level of humiliation. Was she not warned by advisers about going against orthodoxy. The damage done is enormous internationally, domestically and to ordinary people","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes potential harm or significant cost to ordinary people due to decisions made against orthodoxy.","Yes, because it describes “enormous” damage affecting ordinary people and broader society, indicating harm or costs to others."
19,"Rich countries must urgently help poor nations hit by climate crisis, says V20  https--//t.co/yYaDodv86o","Yes, because the text describes a harm or other cost on the author of the tweet or on others. The climate crisis is a hazard that can impose significant harm and costs on both wealthy and poor nations.","Yes, because the text describes a significant cost to others, potentially in the form of damage caused by the climate crisis.","Yes, because it describes poor nations being harmed by the climate crisis, which poses significant risks and costs."
20,"We should be proud of such IAS officers who are not afraid to speak the truth in front of everyone!!  We proud of Madam ""Radha Raturi"" https--//t.co/QYZ7ffvd21","No, because the text describes a positive event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it expresses praise for an officer and does not mention any danger, harm, or risk to anyone."
21,"@AndreaPunksmom @Dhs64dhs @RollingStone Read the autopsy report. The cause of death was a heart attack. Yes, the compression to his neck was contributing factor but so are drugs. It was fatal amount of fentanyl and a trace amount of meth. He also had covid. https--//t.co/YLE13i46Qd","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text refers to past events and doesn't signify an immediate threat of harm or significant cost to the author of the tweet or others.","Yes, because it describes a death and involves harmful factors (neck compression, drug overdose, and COVID), which are clear hazards to a person."
22,Reminder KTFLive-- The Consequences of Being Politically Incorrect https--//t.co/h3nfh8F5d5 https--//t.co/AFxIsUJJi2,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s just a promotional reminder with links and does not describe any specific dangerous event, threat, or potential harm."
23,Verne Troyer Cause Of Death https--//t.co/O3B2x5wHDQ,"No, because the text describes a cause of death without indicating any harm or cost to the author of the tweet or others.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because it refers to a person’s death, which is a clear harm to others."
24,@METAPCs @Cirus_AKA_Widow had to quit streaming all together cause the pos died,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","Yes, because it describes an equipment failure (“pos died”) that forced someone to quit streaming, which imposes a significant cost/loss."
25,@tinkertom2021 @modmothernature @Garrett_Archer @PogueMoran @noodlesfordogs @icbouldertoo We don't block; we're not afraid to be challenged.  We're also not afraid to tell accounts when they are not responding in good faith.,"No, because the text describes a situation where the author is not afraid to engage with others on social media, which does not pose a harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text discusses a stance on online engagement and blocking, without mentioning any harmful events, threats, or situations that could impose harm or costs on anyone."
26,"@RollingStone That's a bluff. Common law is that the dead can't be defamed  Maybe if Floyd had an actively producing estate (like M. Jackson's royalties) there MIGHT be a chance IF you get past West's 1A rights, but even then they'd have to prove that what he said caused damages to that estate","No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a legal commentary about defamation and potential damages to an estate, not a description of an event or situation posing harm or hazard to people."
27,@PlayOmega @discord so cuteeeeeeeeeeeeee,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text is a benign compliment and does not describe any harm or risk to anyone."
28,"""The beauty of yoga is that it addresses multiple factors that underlie heart disease,"" says yoga researcher and neuroscientist Dr. Sat Bir Singh Khalsa, assistant professor of medicine at Harvard Medical School.    https--//t.co/TrjSOaq9IZ https--//t.co/jhyam6PX7m","No, because the text describes a beneficial or neutral event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or on others.","No, because it discusses the health benefits of yoga in relation to heart disease rather than describing an immediate or specific harmful event or threat."
29,"@SteelersEric412 @YukonDenali7 @Just_Fargo @theeuntethered @lmauricecpr If Chauvin had spent those 10 minutes trying to get an ambulance instead of kneeling on his neck, he would still be a cop, even if Floyd had died of an overdose. Or he could’ve administered narcan. Or he could’ve attempted to get him to the ER.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a harmful event where the costs were the loss of life due to incorrect or negligent actions.","Yes, because it describes a life-threatening act (kneeling on someone’s neck) and references overdose and the need for emergency medical care, all of which involve potential harm to others."
30,We tried I just got the clear shower curtain joint and last time you dam near died https--//t.co/ss0VnxT2R5,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","Yes, because the text describes a situation where someone almost got harmed.","Yes, because it references someone “damn near died,” indicating a dangerous situation and potential harm."
31,"#Russia Bombards #Ukraine With Iranian ‘Kamikaze #Drones’. Russia’s airstrikes on Ukraine apparently have entered a new phase, with heavy attacks today by Iranian-made Shahed-136 drones. https--//t.co/dzVMtpDf3I  #UkraineWar #RussiaAttack","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a harm or other cost on the author of the tweet or on others. The tweet is detailing a war attack, which is certainly a hazardous situation.","Yes, because it describes military bombardment and airstrikes with “kamikaze” drones, which pose direct harm and danger to people and infrastructure."
32,@elonmusk @kadubai11 @spideycyp_155 If Russia withdraws from Ukraine then the rest of their Army avoids destruction and there will be no war in Ukraine or with NATO. How do you not get that? Blinded by Political agenda more like.,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text is describing the potential harm or cost of a war in Ukraine and conflict with NATO, impacting many people.","Yes, because it discusses the risk of war and the destruction of an army—events that would cause harm and significant costs to people."
33,"In partnership with Matthew 25-- Ministries and Capitol Hill volunteers, yesterday we packed 1,400 product-filled relief kits for disaster-struck communities to restore a sense of normalcy to those in crisis. As part of our annual Delivering... #PGemployee https--//t.co/lt4R2Bo1d2","Yes, because the text describes a potential harm or cost on the author of the tweet or on others in disaster-struck communities.","No, because the text describes a positive action of aiding disaster-struck communities, thus presenting no harm or significant cost to the author of the tweet or others.","Yes, because it references “disaster-struck communities” and people “in crisis,” implying harm or significant costs to others, even though the tweet focuses on relief efforts."
34,ASUU strike-- Lecturers have to deal with the consequences of maintaining pupils in the house – – Ishaku https--//t.co/ATjDr8bpa2,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a harm or other cost on the author of the tweet or others. The ""consequences"" could imply various types of harm or costs, such as stress, economic impact, disruption of learning etc.","Yes, because it describes an ASUU strike causing negative consequences and disruptions (costs) for lecturers and students/families."
35,"and i’m used to it because even people in my extended family feel that way. they come to me for info about everyone instead of visiting, as if they’re afraid to “catch the poor” it’s really fucking disgusting and I hate it. beaming face with smiling eyes","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a personal frustration and emotional disdain without any implied physical harm or significant cost to the author of the tweet or others.","No, because the text expresses frustration about social stigma and being avoided, but it does not describe a specific hazardous situation or an event causing imminent harm or concrete costs to the author or others."
36,@tweetberry4 @syubjim Yoongi took the narrow and difficult path,"No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text is metaphorical and not indicating a real threat or harm to the person mentioned or anyone else.","No, because it’s a figurative statement about choosing a challenging path and does not describe a specific danger, harm, or costly event."
37,"“I am deeply concerned that the war in Tigray continues to escalate dangerously, deepening the humanitarian crisis in Tigray” @RepGregoryMeeks said.  #TigrayUnderAttack  #StopWarOnTigray @HouseForeig @Ni","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a harm or other cost on the author of the tweet or on others. It highlights a war which is escalating and causing a deepening humanitarian crisis.","Yes, because it describes an escalating war and a worsening humanitarian crisis in Tigray, which implies harm and significant costs to people there."
38,"@hmrpoet @bvtucci @mwphnh @ByronYork ... for him is a devoted fan.  It just isn't so.  Not even close.  The biggest mistake Republicans can make is to think they're running against the catastrophe known as Biden, and to prepare that way.  If they don't pick a candidate who can beat people like Manchin, ...","No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text is merely expressing a political opinion and not describing a harmful or costly situation.","No, because it is political commentary about election strategy and opinion, not a description of an actual danger, harm, or concrete costly incident affecting the author or others."
39,"@RighteousFruity @HoshizoraOW No, just stop throwing your damage orb during team fights you fucking idiot.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s just an insult about video game play and doesn’t describe any dangerous situation, harm, or risk to anyone."
40,"@SoozleMcDoozle Thinking of all of you, wishing you comfort and support in this difficult moment.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a show of support and empathy, bringing no harm or significant cost to the author of the tweet or others.","No, because the tweet only expresses sympathy and support during a “difficult moment” and does not describe any specific danger, harm, or costly event."
41,@robcarlson20 @KerryOLeary4 @nicher66 @CalvinE43701301 @ThereseOSulliv2 @Pepevineyard @gopisdirty @bombaybadboy @Aimhighffw @TreatHunterDog @TrumpsGuiIty @JackWhoElse @Saggit95 @LadyOfTheOcean1 @InRainbows182 @kennethGalla2 @Michel757188561 @scary_brock @fallingtree1745 @AnnoyedTaurus @gmarshall1965 @SpacesVector @LivesSawyer @antiLibmob @TheAngryPundit @dorthy_fromoz @Gigi69030829 @yvonnecar20 @FrankPLP2022 @SandraGray9 @fireball_lady @ernestleenot @T_WJackson @NoBulls55224206 @MarcGriff89 @ProGunOne1776 @S51781902 @ambassadorgems @pamg8tr @ChrissyCushman @MarvinRJeffcoat @TroyQui55914716 @LettuceLollie @GigiGreene63 @David45189771 @AmericanSuzieQ @Synyster63 @Jeanelynn BIDENS “ Border Chief” keeps falling asleep during talks about the Border invasión. Because he knows Biden HARRIS don’t care. https--//t.co/AruQXl2Ukj,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a potential harm or other cost with regards to the issue of border management, suggesting that this could lead to a problem or hazard for others.","Yes, because it references a “border invasion,” which implies a dangerous situation that could impose harm or costs on others."
42,This world full of so many followers…Durk said “welcome to death row” now everybody in death row contracts w somebody …yal some lame ass unoriginal ass group of humans lmao,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text criticizes certain behavior but it doesn't describe a specific harm or cost to the author of the tweet or others.","No, because it’s just commentary using a pop-culture phrase (“welcome to death row”) and doesn’t describe an actual dangerous event, threat, or harm."
43,This dangerous attack on our democracy must not stand. https--//t.co/Z7OcaDJYnp,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text suggests that there is an ongoing attack which could impose harm or other costs.","Yes, because it refers to a “dangerous attack on our democracy,” implying a harmful event posing risk or cost to others."
44,@flipkartsupport 124 BC what is closely following up . To schedule a technician is taking more than 8 days . Sucks!! Seems it is more difficult than rocket science.Don’t make fool .#flipkartscam #FlipkartChorHai   #flipkartscam #FlipkartChorHai  #flipkartscam #FlipkartChorHai  #flipkartscam,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a complaint about delayed customer service and accusations of a scam, not a situation posing physical danger or describing concrete harm beyond inconvenience/frustration."
45,"@elonmusk @kadubai11 @spideycyp_155 This worlds runs on greed. You know this. Putin nor any of his oligarchs want to lose their lives and their everything, over land they stole. There will be no nuclear war, bc that's a death sentence to all their lifestyles, their life.","Yes, because the text describes a potential harm or cost on the author of the tweet or on others.","No, because the text describes a speculation or opinion, not a confirmed hazard that could impose harm or other costs on the author of the tweet or on others.","Yes, because it references nuclear war and its deadly consequences (“death sentence”), which constitute severe harm to people."
46,@bujeeboo Johnson's collapse will disproportionately help Kotek.,"No, because the text describes a political event that may have an impact on individuals involved, but it does not directly describe harm or other costs imposed on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because “collapse” here appears to be a metaphor for a political campaign failing, and the tweet discusses electoral implications, not a dangerous event or situation causing harm."
47,@BiryomumaishoB To some people the ebola chaos is about the money! God save us this curse of a disease,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text refers to ebola, a potentially deadly disease which constitutes a hazard to peoples' health and lives.","Yes, because it refers to Ebola and the associated “chaos,” indicating a dangerous disease outbreak that can cause harm to people."
48,#XenoAki N trying to destroy Noah ideal. Why does this make me thinks to fate so much ??? The parallel to Emiya is so strong,"No, because the text does not describe a hazard or something that could impose harm or other costs on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s discussing fictional characters and plot parallels (e.g., Emiya, Noah) rather than a real event that could cause harm or costs to people."
49,Most of the shadows of life are caused by standing in our own sunshine.  #衡水 #韶关 #黄石 #推特账号   xWnTvPsJ   https--//t.co/I8jCsD7mHT,"No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a motivational quote with city-related hashtags and a link, and it does not describe any harmful event or risk to anyone."
50,it had obloquies of Ricks in every https--//t.co/kSqKyDxItw reading it over I harvested the intelligence that said alleged Ricks #包养  #包养应聘,"No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text doesn't seem to describe a harmful event or significant cost to the author of the tweet or others. It appears to be discussing a particular subject or issue, but it's not clear what that is, and there's no obvious hazard mentioned.","No, because the tweet is largely incoherent and does not describe any specific dangerous event, threat, injury, or harmful situation. The hashtags and phrasing don’t indicate a hazard."
51,"If it wasn’t for my anxiety, I’d be trying to link up with everyone but yeah…","No, because the text describes a personal feeling or condition (anxiety) that does not pose harm or other costs to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the tweet only mentions the author's anxiety affecting their social plans and does not describe any dangerous situation or event that could cause harm or impose costs on anyone."
52,"@chirilucky2 @againstgrmrs If kids do not go through with any “gender affirming care”, a massive percentage of them grow out of their gender dysphoria. Once they’ve committed to it and gone through with irreversible treatment, “detransitioning” wouldn’t really fix the damage they’ve done.","No, because the text does not describe a harm or other cost on the author of the tweet or on others.","Yes, because the text suggests that irreversible treatments for gender dysphoria can cause enduring psychological and physical harm to individuals, especially young people, who later regret their decision.","Yes, because it describes potential harm from irreversible medical treatments, stating that such treatments can cause lasting damage that detransitioning wouldn’t fix."
53,"@comicbookaholic @Kaleigh1103 @Abdulshiekh619 No, athena did nothing to him. Every time he beat death he clawed himself out of hades on his own","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text is talking about a fictional scenario with no real harm or significant cost to the author of the tweet or others.","No, because it discusses a fictional/mythological scenario (beating death and escaping Hades) and does not describe a real-world hazard or harm to people."
54,@MrAlgolagnist @LouMill90 @WIAW18 So weird that they think it’s saying no we have a problem with lmao. We have a problem with concerted attacks on gay and trans rights. We are saying no to them and they don’t like that one but.,"No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text describes a disagreement or conflict of opinion, but no physical harm or significant cost to the author of the tweet or others.","Yes, because it describes a harmful situation—“concerted attacks on gay and trans rights”—which implies risks and costs to those groups’ safety and well-being."
55,@atulharia @au_tom_otive No real harm is caused? https--//t.co/ypoyQXOLQl,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text does not provide enough context to determine if any harm or significant cost is inflicted on the author of the tweet or others.","No, because it does not describe any specific harmful event or risk; it merely questions whether harm occurred and links to external content without context."
56,@thehill @TheHillOpinion The Hill-- Actively amplifying chaos agents and undermining Democracy.  The press is complicit in their ineptitude.,"No, because the text describes a criticism of a news source rather than a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","Yes, because it alleges actions that could harm society by undermining democracy, which represents a potential hazard or cost to others."
57,"In May, @TheEndoSociety launched the Oncoendocrinology Special Interest Group that will focus on #endocrine and metabolic consequences of non-endocrine cancers and their treatments. Read all about it and find out how you can join! https--//t.co/eXovFnZ5r3 https--//t.co/zGH3pAwfoV","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a group launch and invitation to join, which does not imply any harm or significant cost to the author of the tweet or others.","Yes, because it references health harms—endocrine and metabolic complications resulting from cancers and their treatments—which are hazards to people."
58,"A guy on Bumble told me that he's ""currently working on 6 novels"" like he's Stephen King...sir, please let me know when you finish one of these alleged novels","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the tweet is a humorous critique of someone’s claim on a dating app and does not describe any event or situation that could cause harm or impose costs on anyone."
59,Calls are raining in groupbullseye  Dont miss out this cyclecheck mark  We going to moonrocket right arrow https--//t.co/tEdSGx4WTu Grab your entriesmoney with wings  $OMG $UNI $UMA $POLC $TLM $COTI $SKL $KEEP https--//t.co/3EwLYeD6gs,"No, because the text describes a financial opportunity or investment rather than a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a promotional message about crypto trading signals and does not describe any danger, harm, or costly event affecting anyone."
60,"So at the very least, just don't do what I did.""  Except he didn't want to talk about what he did. It was too shameful. It still is too shameful. Which meant if he was going to make anything easier for both Reggie and Newt in any capacity, it was something he'd have to confront.","No, because the text describes a personal struggle or emotional issue that is not a hazard imposing harm or other costs on the author of the tweet or on others.","No, because the text describes a personal emotional struggle, which does not translate to physical harm or significant cost to the author of the tweet or others.","No, because the text is a vague, introspective reflection on shame and confronting past actions, without describing any specific harmful event, threat, or risk to the author or others."
61,"@beyond4now @DarrinZiliak @HarrisonKrank @JohnFetterman From Dr. Oz making a claim and someone following that claim. But here is just one example of a known death from homeopathy. https--//t.co/1YlAUye3ZD And nope. Not making shit up. Following the science bud. But typical gQp, not listening to science, experts, facts, etc.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text refers to a case of death due to homeopathy, which could be harmful to others if they were to follow the same treatment.","Yes, because it references a known death resulting from homeopathy and implies harmful consequences from following certain claims, which describes a hazard to others."
62,imagine if the music video dropped rn admist all this chaos,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it only mentions “chaos” vaguely and does not describe any specific harmful event, risk, or cost to anyone."
63,@YomiObsessions @novaloquendo @kotobukicop @rylier00 I’m a starving child starving to death this is the last thing I will see Goodbye,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text potentially describes severe harm to the author of the tweet.","Yes, because it describes an immediate life-threatening situation (starving to death), which is a severe harm to the author."
64,"@MairiJCam @AdamRamsay The warning at the beginning of the piece nearly scared me off. There's a war in Ukraine right now, but what I really find disturbing is discussing ... transphobia...the worst thing on the planet.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","Yes, because it references an ongoing war in Ukraine, which is a violent event that poses harm and risk to people. The rest is commentary, but the mention of war describes a clear hazard."
65,"@PriceAmelion @MailOnline Damaging to the perspective that only one position is right. You got double corruption, friend, a double issue. And you wanna inflate the smaller of the two because you're Team DT. I get it, it's fine. This isn't whataboutism, this is whataboutboth.","No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a political opinion/accusation about “double corruption” and “whataboutism,” not a description of a specific harmful event, danger, or concrete risk to the author or others."
66,"A world war is a great power conflict over territory which overturns the existing international order and where other states find themselves on different sides of the conflict. It involves economic warfare, information warfare, as well as kinetic war.  We’re in the same situation https--//t.co/h502gV4a82","Yes, because the text describes a potential harm or other cost on the author of the tweet or on others.","Yes, because the text suggests the potential for a large-scale conflict that could cause harm or other costs to individuals globally, including the author of the tweet.","Yes, because it describes (and claims we are in) a world-war-like conflict involving warfare, which implies significant danger and harm to people and societies."
67,$slp  is set and ready for a run up..~ https--//t.co/awTrtCeCLM,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a speculative statement about a cryptocurrency price increase and does not describe any harm or cost to anyone."
68,"@NukaSimmer I find it very disturbing in general. They have actual fans and people that are attracted to them, even knowing all of the terrible things that they have done. How can anybody idolize somebody like that?","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a potential harm in idolizing people that have done terrible things, which could lead to harm or cost on the author or others.","No, because it’s an opinion about people idolizing those who have done “terrible things” and doesn’t describe a specific hazardous event, threat, or harm occurring to the author or others."
